Away True Probability (Close),Away True Line (Close),,Away Implied Probability (Close),Away Line (Close),Away True Probability (Open),Away True Line (Open),,Away Implied Probability (Open),Away Line (Open),Away,Away Score,-,Date,-,Home Score,Home,Home Line (Open),Home Implied Probability (Open),,Home True Line (Open),Home True Probability (Open),Home Line (Close),Home Implied Probability (Close),,Home True Line (Close),Home True Probability (Close)
43.95%,+128,102.49%,45.05%,+122,44.14%,+127,102.51%,45.25%,+121,Winnipeg Jets,0,,25-Nov,,4,San Jose Sharks,-134,57.26%,102.51%, -127,55.86%,-135,57.45%,102.49%, -128,56.05%
50.93%, -104,102.40%,52.15%,-109,48.84%,+105,102.38%,50.00%,+100,Calgary Flames,3,,25-Nov,,2,Colorado Avalanche,-110,52.38%,102.38%, -105,51.16%,-101,50.25%,102.40%,+104,49.07%
39.51%,+153,102.46%,40.49%,+147,42.25%,+137,102.47%,43.29%,+131,Anaheim Ducks,1,,25-Nov,SO,2,Los Angeles Kings,-145,59.18%,102.47%, -137,57.75%,-163,61.98%,102.46%, -153,60.49%
42.25%,+137,102.47%,43.29%,+131,49.07%,+104,102.40%,50.25%, -101,Nashville Predators,3,,26-Nov,SO,4,Carolina Hurricanes,-109,52.15%,102.40%, -104,50.93%,-145,59.18%,102.47%, -137,57.75%
39.98%,+150,102.52%,40.98%,+144,39.51%,+153,102.46%,40.49%,+147,Vancouver Canucks,3,,26-Nov,SO,4,New York Rangers,-163,61.98%,102.46%, -153,60.49%,-160,61.54%,102.52%, -150,60.02%
46.01%,+117,102.53%,47.17%,+112,44.33%,+126,102.54%,45.45%,+120,Edmonton Oilers,4,,26-Nov,,2,Boston Bruins,-133,57.08%,102.54%, -126,55.67%,-124,55.36%,102.53%, -117,53.99%
48.38%,+107,102.34%,49.50%,+102,45.80%,+118,102.50%,46.95%,+113,Florida Panthers,3,,27-Nov,,2,New Jersey Devils,-125,55.56%,102.50%, -118,54.20%,-112,52.83%,102.34%, -107,51.62%
43.03%,+132,102.39%,44.05%,+127,39.21%,+155,102.42%,40.16%,+149,Philadelphia Flyers,4,,27-Nov,OT,5,Pittsburgh Penguins,-165,62.26%,102.42%, -155,60.79%,-140,58.33%,102.39%, -132,56.97%
52.84%, -112,102.44%,54.13%,-118,50.46%, -102,102.43%,51.69%, -107,Columbus Blue Jackets,1,,27-Nov,,3,Montreal Canadiens,-103,50.74%,102.43%,+102,49.54%,+107,48.31%,102.44%,+112,47.16%
45.40%,+120,102.46%,46.51%,+115,45.80%,+118,102.50%,46.95%,+113,Minnesota Wild,2,,27-Nov,,7,Winnipeg Jets,-125,55.56%,102.50%, -118,54.20%,-127,55.95%,102.46%, -120,54.60%
34.88%,+187,102.38%,35.71%,+180,38.57%,+159,102.49%,39.53%,+153,Anaheim Ducks,3,,27-Nov,,7,Chicago Blackhawks,-170,62.96%,102.49%, -159,61.43%,-200,66.67%,102.38%, -187,65.12%
61.72%, -161,102.45%,63.24%,-172,62.75%, -168,102.45%,64.29%, -180,Tampa Bay Lightning,2,,28-Nov,,0,Buffalo Sabres,+162,38.17%,102.45%,+168,37.25%,+155,39.22%,102.45%,+161,38.28%
39.51%,+153,102.46%,40.49%,+147,39.21%,+155,102.42%,40.16%,+149,Vancouver Canucks,2,,28-Nov,,5,New York Islanders,-165,62.26%,102.42%, -155,60.79%,-163,61.98%,102.46%, -153,60.49%
39.36%,+154,102.44%,40.32%,+148,37.85%,+164,102.40%,38.76%,+158,Florida Panthers,5,,28-Nov,,4,New York Rangers,-175,63.64%,102.40%, -164,62.15%,-164,62.12%,102.44%, -154,60.64%
50.00%,+100,102.44%,51.22%,-105,51.16%, -105,102.38%,52.38%, -110,San Jose Sharks,3,,28-Nov,,1,Philadelphia Flyers,+100,50.00%,102.38%,+105,48.84%,-105,51.22%,102.44%,+100,50.00%
48.27%,+107,102.56%,49.50%,+102,44.33%,+126,102.54%,45.45%,+120,Carolina Hurricanes,2,,28-Nov,SO,3,Columbus Blue Jackets,-133,57.08%,102.54%, -126,55.67%,-113,53.05%,102.56%, -107,51.73%
50.46%, -102,102.43%,51.69%,-107,51.16%, -105,102.38%,52.38%, -110,Los Angeles Kings,4,,28-Nov,,1,Detroit Red Wings,+100,50.00%,102.38%,+105,48.84%,-103,50.74%,102.43%,+102,49.54%
39.51%,+153,102.46%,40.49%,+147,41.73%,+140,102.41%,42.74%,+134,Chicago Blackhawks,2,,28-Nov,,3,Nashville Predators,-148,59.68%,102.41%, -140,58.27%,-163,61.98%,102.46%, -153,60.49%
48.84%,+105,102.38%,50.00%,+100,48.61%,+106,102.36%,49.75%,+101,Toronto Maple Leafs,4,,28-Nov,,1,Calgary Flames,-111,52.61%,102.36%, -106,51.39%,-110,52.38%,102.38%, -105,51.16%
35.12%,+185,102.41%,35.97%,+178,37.25%,+168,102.45%,38.17%,+162,Arizona Coyotes,2,,28-Nov,OT,3,Edmonton Oilers,-180,64.29%,102.45%, -168,62.75%,-198,66.44%,102.41%, -185,64.88%
48.27%,+107,102.56%,49.50%,+102,48.61%,+106,102.36%,49.75%,+101,Dallas Stars,3,,28-Nov,,0,Vegas Golden Knights,-111,52.61%,102.36%, -106,51.39%,-113,53.05%,102.56%, -107,51.73%
50.00%,+100,102.44%,51.22%,-105,53.48%, -115,102.37%,54.75%, -121,Tampa Bay Lightning,2,,29-Nov,,3,Boston Bruins,+110,47.62%,102.37%,+115,46.52%,-105,51.22%,102.44%,+100,50.00%
43.95%,+128,102.49%,45.05%,+122,44.80%,+123,102.39%,45.87%,+118,Ottawa Senators,1,,29-Nov,,2,Montreal Canadiens,-130,56.52%,102.39%, -123,55.20%,-135,57.45%,102.49%, -128,56.05%
31.99%,+213,102.48%,32.79%,+205,34.38%,+191,102.42%,35.21%,+184,Anaheim Ducks,2,,29-Nov,,3,St. Louis Blues,-205,67.21%,102.42%, -191,65.62%,-230,69.70%,102.48%, -213,68.01%
56.05%, -128,102.49%,57.45%,-135,54.20%, -118,102.50%,55.56%, -125,Winnipeg Jets,2,,29-Nov,OT,3,Colorado Avalanche,+113,46.95%,102.50%,+118,45.80%,+122,45.05%,102.49%,+128,43.95%
44.80%,+123,102.39%,45.87%,+118,44.80%,+123,102.39%,45.87%,+118,Los Angeles Kings,5,,30-Nov,,2,Washington Capitals,-130,56.52%,102.39%, -123,55.20%,-130,56.52%,102.39%, -123,55.20%
46.01%,+117,102.53%,47.17%,+112,48.04%,+108,102.53%,49.26%,+103,Montreal Canadiens,6,,30-Nov,,3,Detroit Red Wings,-114,53.27%,102.53%, -108,51.96%,-124,55.36%,102.53%, -117,53.99%
37.25%,+168,102.45%,38.17%,+162,35.49%,+182,102.47%,36.36%,+175,Vancouver Canucks,5,,30-Nov,,3,Nashville Predators,-195,66.10%,102.47%, -182,64.51%,-180,64.29%,102.45%, -168,62.75%
40.67%,+146,102.45%,41.67%,+140,38.42%,+160,102.47%,39.37%,+154,Vegas Golden Knights,2,,30-Nov,,4,Minnesota Wild,-171,63.10%,102.47%, -160,61.58%,-155,60.78%,102.45%, -146,59.33%
42.25%,+137,102.47%,43.29%,+131,43.03%,+132,102.39%,44.05%,+127,Dallas Stars,4,OT,30-Nov,,3,Chicago Blackhawks,-140,58.33%,102.39%, -132,56.97%,-145,59.18%,102.47%, -137,57.75%
37.25%,+168,102.45%,38.17%,+162,34.38%,+191,102.42%,35.21%,+184,Arizona Coyotes,0,,30-Nov,,3,Calgary Flames,-205,67.21%,102.42%, -191,65.62%,-180,64.29%,102.45%, -168,62.75%
51.73%, -107,102.56%,53.05%,-113,50.00%,+100,102.44%,51.22%, -105,Toronto Maple Leafs,6,,30-Nov,,4,Edmonton Oilers,-105,51.22%,102.44%,+100,50.00%,+102,49.50%,102.56%,+107,48.27%
58.10%, -139,102.43%,59.51%,-147,60.02%, -150,102.52%,61.54%, -160,Pittsburgh Penguins,4,,1-Dec,,0,Buffalo Sabres,+144,40.98%,102.52%,+150,39.98%,+133,42.92%,102.43%,+139,41.90%
43.03%,+132,102.39%,44.05%,+127,42.60%,+135,102.52%,43.67%,+129,Ottawa Senators,5,,1-Dec,,6,New York Islanders,-143,58.85%,102.52%, -135,57.40%,-140,58.33%,102.39%, -132,56.97%
50.00%,+100,102.44%,51.22%,-105,44.80%,+123,102.39%,45.87%,+118,Carolina Hurricanes,1,,1-Dec,,5,New York Rangers,-130,56.52%,102.39%, -123,55.20%,-105,51.22%,102.44%,+100,50.00%
34.49%,+190,102.44%,35.34%,+183,34.85%,+187,102.49%,35.71%,+180,Anaheim Ducks,2,,1-Dec,,4,Columbus Blue Jackets,-201,66.78%,102.49%, -187,65.15%,-204,67.11%,102.44%, -190,65.51%
48.84%,+105,102.38%,50.00%,+100,48.84%,+105,102.38%,50.00%,+100,San Jose Sharks,2,,1-Dec,,1,Florida Panthers,-110,52.38%,102.38%, -105,51.16%,-110,52.38%,102.38%, -105,51.16%
34.88%,+187,102.38%,35.71%,+180,40.67%,+146,102.45%,41.67%,+140,Los Angeles Kings,4,,1-Dec,,1,St. Louis Blues,-155,60.78%,102.45%, -146,59.33%,-200,66.67%,102.38%, -187,65.12%
35.49%,+182,102.47%,36.36%,+175,37.85%,+164,102.40%,38.76%,+158,Vegas Golden Knights,4,,1-Dec,,7,Winnipeg Jets,-175,63.64%,102.40%, -164,62.15%,-195,66.10%,102.47%, -182,64.51%
50.00%,+100,102.44%,51.22%,-105,50.70%, -103,102.42%,51.92%, -108,New Jersey Devils,2,,1-Dec,,1,Colorado Avalanche,-102,50.50%,102.42%,+103,49.30%,-105,51.22%,102.44%,+100,50.00%
50.00%,+100,102.44%,51.22%,-105,49.77%,+101,102.44%,50.98%, -104,Boston Bruins,3,,2-Dec,,0,Philadelphia Flyers,-106,51.46%,102.44%, -101,50.23%,-105,51.22%,102.44%,+100,50.00%
46.21%,+116,102.55%,47.39%,+111,47.82%,+109,102.51%,49.02%,+104,St. Louis Blues,1,,2-Dec,OT,2,Minnesota Wild,-115,53.49%,102.51%, -109,52.18%,-123,55.16%,102.55%, -116,53.79%
58.10%, -139,102.43%,59.51%,-147,56.05%, -128,102.49%,57.45%, -135,Toronto Maple Leafs,1,,2-Dec,,2,Vancouver Canucks,+122,45.05%,102.49%,+128,43.95%,+133,42.92%,102.43%,+139,41.90%
36.67%,+173,102.51%,37.59%,+166,39.98%,+150,102.52%,40.98%,+144,Detroit Red Wings,1,,2-Dec,,10,Montreal Canadiens,-160,61.54%,102.52%, -150,60.02%,-185,64.91%,102.51%, -173,63.33%
36.67%,+173,102.51%,37.59%,+166,39.98%,+150,102.52%,40.98%,+144,San Jose Sharks,2,,2-Dec,,5,Tampa Bay Lightning,-160,61.54%,102.52%, -150,60.02%,-185,64.91%,102.51%, -173,63.33%
32.53%,+207,102.47%,33.33%,+200,32.43%,+208,102.45%,33.22%,+201,Buffalo Sabres,1,,2-Dec,,5,Pittsburgh Penguins,-225,69.23%,102.45%, -208,67.57%,-224,69.14%,102.47%, -207,67.47%
49.54%,+102,102.43%,50.74%,-103,44.14%,+127,102.51%,45.25%,+121,Columbus Blue Jackets,3,,2-Dec,,4,Washington Capitals,-134,57.26%,102.51%, -127,55.86%,-107,51.69%,102.43%, -102,50.46%
47.38%,+111,102.46%,48.54%,+106,51.16%, -105,102.38%,52.38%, -110,New Jersey Devils,0,,2-Dec,,5,Arizona Coyotes,+100,50.00%,102.38%,+105,48.84%,-117,53.92%,102.46%, -111,52.62%
31.99%,+213,102.48%,32.79%,+205,32.98%,+203,102.44%,33.78%,+196,Anaheim Ducks,2,,2-Dec,SO,3,Nashville Predators,-219,68.65%,102.44%, -203,67.02%,-230,69.70%,102.48%, -213,68.01%
42.07%,+138,102.45%,43.10%,+132,43.21%,+131,102.41%,44.25%,+126,Florida Panthers,2,,2-Dec,OT,3,Carolina Hurricanes,-139,58.16%,102.41%, -131,56.79%,-146,59.35%,102.45%, -138,57.93%
42.25%,+137,102.47%,43.29%,+131,47.60%,+110,102.48%,48.78%,+105,Chicago Blackhawks,2,,2-Dec,SO,3,Dallas Stars,-116,53.70%,102.48%, -110,52.40%,-145,59.18%,102.47%, -137,57.75%
41.90%,+139,102.43%,42.92%,+133,42.25%,+137,102.47%,43.29%,+131,Edmonton Oilers,7,,2-Dec,,5,Calgary Flames,-145,59.18%,102.47%, -137,57.75%,-147,59.51%,102.43%, -139,58.10%
51.16%, -105,102.38%,52.38%,-110,55.20%, -123,102.39%,56.52%, -130,Los Angeles Kings,3,,3-Dec,,1,Chicago Blackhawks,+118,45.87%,102.39%,+123,44.80%,+100,50.00%,102.38%,+105,48.84%
39.51%,+153,102.46%,40.49%,+147,41.90%,+139,102.43%,42.92%,+133,Ottawa Senators,0,,3-Dec,,5,Winnipeg Jets,-147,59.51%,102.43%, -139,58.10%,-163,61.98%,102.46%, -153,60.49%
36.67%,+173,102.51%,37.59%,+166,41.39%,+142,102.37%,42.37%,+136,Arizona Coyotes,2,,3-Dec,OT,3,Vegas Golden Knights,-150,60.00%,102.37%, -142,58.61%,-185,64.91%,102.51%, -173,63.33%
50.46%, -102,102.43%,51.69%,-107,48.61%,+106,102.36%,49.75%,+101,Dallas Stars,7,,3-Dec,,2,Colorado Avalanche,-111,52.61%,102.36%, -106,51.39%,-103,50.74%,102.43%,+102,49.54%
47.60%,+110,102.48%,48.78%,+105,45.20%,+121,102.44%,46.30%,+116,San Jose Sharks,1,,4-Dec,,4,Washington Capitals,-128,56.14%,102.44%, -121,54.80%,-116,53.70%,102.48%, -110,52.40%
52.18%, -109,102.51%,53.49%,-115,48.61%,+106,102.36%,49.75%,+101,New York Islanders,5,SO,4-Dec,,4,Florida Panthers,-111,52.61%,102.36%, -106,51.39%,+104,49.02%,102.51%,+109,47.82%
48.27%,+107,102.56%,49.50%,+102,43.95%,+128,102.49%,45.05%,+122,Boston Bruins,3,,4-Dec,,5,Nashville Predators,-135,57.45%,102.49%, -128,56.05%,-113,53.05%,102.56%, -107,51.73%
41.56%,+141,102.39%,42.55%,+135,40.67%,+146,102.45%,41.67%,+140,Philadelphia Flyers,5,,4-Dec,,2,Calgary Flames,-155,60.78%,102.45%, -146,59.33%,-149,59.84%,102.39%, -141,58.44%
38.28%,+161,102.45%,39.22%,+155,42.25%,+137,102.47%,43.29%,+131,New York Rangers,4,,5-Dec,,3,Pittsburgh Penguins,-145,59.18%,102.47%, -137,57.75%,-172,63.24%,102.45%, -161,61.72%
35.24%,+184,102.43%,36.10%,+177,37.25%,+168,102.45%,38.17%,+162,New Jersey Devils,4,,5-Dec,,1,Columbus Blue Jackets,-180,64.29%,102.45%, -168,62.75%,-197,66.33%,102.43%, -184,64.76%
49.07%,+104,102.40%,50.25%,-101,47.82%,+109,102.51%,49.02%,+104,St. Louis Blues,4,,5-Dec,,3,Montreal Canadiens,-115,53.49%,102.51%, -109,52.18%,-109,52.15%,102.40%, -104,50.93%
56.61%, -130,102.43%,57.98%,-138,56.05%, -128,102.49%,57.45%, -135,Winnipeg Jets,1,,5-Dec,,5,Detroit Red Wings,+122,45.05%,102.49%,+128,43.95%,+125,44.44%,102.43%,+130,43.39%
35.49%,+182,102.47%,36.36%,+175,37.85%,+164,102.40%,38.76%,+158,New York Islanders,2,,5-Dec,,6,Tampa Bay Lightning,-175,63.64%,102.40%, -164,62.15%,-195,66.10%,102.47%, -182,64.51%
40.35%,+148,102.41%,41.32%,+142,44.60%,+124,102.37%,45.66%,+119,Nashville Predators,5,,5-Dec,,2,Dallas Stars,-131,56.71%,102.37%, -124,55.40%,-157,61.09%,102.41%, -148,59.65%
45.40%,+120,102.46%,46.51%,+115,41.39%,+142,102.37%,42.37%,+136,Buffalo Sabres,4,,5-Dec,,2,Colorado Avalanche,-150,60.00%,102.37%, -142,58.61%,-127,55.95%,102.46%, -120,54.60%
53.06%, -113,102.41%,54.34%,-119,48.84%,+105,102.38%,50.00%,+100,Carolina Hurricanes,0,,5-Dec,,3,Vancouver Canucks,-110,52.38%,102.38%, -105,51.16%,+108,48.08%,102.41%,+113,46.94%
41.16%,+143,102.51%,42.19%,+137,43.95%,+128,102.49%,45.05%,+122,Anaheim Ducks,3,,5-Dec,SO,4,Vegas Golden Knights,-135,57.45%,102.49%, -128,56.05%,-152,60.32%,102.51%, -143,58.84%
44.33%,+126,102.54%,45.45%,+120,43.03%,+132,102.39%,44.05%,+127,Minnesota Wild,2,,5-Dec,,5,Los Angeles Kings,-140,58.33%,102.39%, -132,56.97%,-133,57.08%,102.54%, -126,55.67%
40.67%,+146,102.45%,41.67%,+140,42.25%,+137,102.47%,43.29%,+131,Calgary Flames,1,,6-Dec,SO,2,Toronto Maple Leafs,-145,59.18%,102.47%, -137,57.75%,-155,60.78%,102.45%, -146,59.33%
44.80%,+123,102.39%,45.87%,+118,42.25%,+137,102.47%,43.29%,+131,Chicago Blackhawks,2,,6-Dec,,6,Washington Capitals,-145,59.18%,102.47%, -137,57.75%,-130,56.52%,102.39%, -123,55.20%
43.95%,+128,102.49%,45.05%,+122,47.38%,+111,102.46%,48.54%,+106,Philadelphia Flyers,4,,6-Dec,,2,Edmonton Oilers,-117,53.92%,102.46%, -111,52.62%,-135,57.45%,102.49%, -128,56.05%
53.99%, -117,102.53%,55.36%,-124,50.70%, -103,102.42%,51.92%, -108,Ottawa Senators,0,,6-Dec,,3,Anaheim Ducks,-102,50.50%,102.42%,+103,49.30%,+112,47.17%,102.53%,+117,46.01%
33.30%,+200,102.48%,34.13%,+193,34.38%,+191,102.42%,35.21%,+184,Arizona Coyotes,1,,7-Dec,,6,Boston Bruins,-205,67.21%,102.42%, -191,65.62%,-216,68.35%,102.48%, -200,66.70%
41.16%,+143,102.51%,42.19%,+137,43.39%,+130,102.43%,44.44%,+125,New York Islanders,3,,7-Dec,OT,4,Pittsburgh Penguins,-138,57.98%,102.43%, -130,56.61%,-152,60.32%,102.51%, -143,58.84%
39.06%,+156,102.41%,40.00%,+150,39.67%,+152,102.48%,40.65%,+146,Calgary Flames,3,OT,7-Dec,,2,Montreal Canadiens,-162,61.83%,102.48%, -152,60.33%,-166,62.41%,102.41%, -156,60.94%
31.99%,+213,102.48%,32.79%,+205,31.99%,+213,102.48%,32.79%,+205,Colorado Avalanche,2,,7-Dec,,5,Tampa Bay Lightning,-230,69.70%,102.48%, -213,68.01%,-230,69.70%,102.48%, -213,68.01%
51.73%, -107,102.56%,53.05%,-113,52.84%, -112,102.44%,54.13%, -118,Winnipeg Jets,4,,7-Dec,,6,Florida Panthers,+107,48.31%,102.44%,+112,47.16%,+102,49.50%,102.56%,+107,48.27%
41.16%,+143,102.51%,42.19%,+137,44.33%,+126,102.54%,45.45%,+120,Dallas Stars,0,,7-Dec,,3,St. Louis Blues,-133,57.08%,102.54%, -126,55.67%,-152,60.32%,102.51%, -143,58.84%
45.80%,+118,102.50%,46.95%,+113,47.16%,+112,102.44%,48.31%,+107,Philadelphia Flyers,4,,7-Dec,,1,Vancouver Canucks,-118,54.13%,102.44%, -112,52.84%,-125,55.56%,102.50%, -118,54.20%
38.28%,+161,102.45%,39.22%,+155,34.38%,+191,102.42%,35.21%,+184,Ottawa Senators,3,,7-Dec,OT,4,Los Angeles Kings,-205,67.21%,102.42%, -191,65.62%,-172,63.24%,102.45%, -161,61.72%
46.01%,+117,102.53%,47.17%,+112,42.60%,+135,102.52%,43.67%,+129,Carolina Hurricanes,4,,7-Dec,OT,5,San Jose Sharks,-143,58.85%,102.52%, -135,57.40%,-124,55.36%,102.53%, -117,53.99%
55.67%, -126,102.54%,57.08%,-133,53.27%, -114,102.39%,54.55%, -120,Columbus Blue Jackets,5,,8-Dec,,3,New Jersey Devils,+109,47.85%,102.39%,+114,46.73%,+120,45.45%,102.54%,+126,44.33%
44.33%,+126,102.54%,45.45%,+120,45.80%,+118,102.50%,46.95%,+113,New York Rangers,2,,8-Dec,,4,Washington Capitals,-125,55.56%,102.50%, -118,54.20%,-133,57.08%,102.54%, -126,55.67%
40.67%,+146,102.45%,41.67%,+140,37.25%,+168,102.45%,38.17%,+162,Vegas Golden Knights,4,SO,8-Dec,,3,Nashville Predators,-180,64.29%,102.45%, -168,62.75%,-155,60.78%,102.45%, -146,59.33%
33.44%,+199,102.40%,34.25%,+192,37.25%,+168,102.45%,38.17%,+162,Buffalo Sabres,2,,8-Dec,OT,3,Chicago Blackhawks,-180,64.29%,102.45%, -168,62.75%,-214,68.15%,102.40%, -199,66.56%
55.20%, -123,102.39%,56.52%,-130,50.70%, -103,102.42%,51.92%, -108,Minnesota Wild,3,OT,8-Dec,,2,Anaheim Ducks,-102,50.50%,102.42%,+103,49.30%,+118,45.87%,102.39%,+123,44.80%
58.27%, -140,102.41%,59.68%,-148,57.75%, -137,102.47%,59.18%, -145,St. Louis Blues,6,,9-Dec,,1,Detroit Red Wings,+131,43.29%,102.47%,+137,42.25%,+134,42.74%,102.41%,+140,41.73%
41.16%,+143,102.51%,42.19%,+137,44.14%,+127,102.51%,45.25%,+121,New York Islanders,1,,9-Dec,,3,Boston Bruins,-134,57.26%,102.51%, -127,55.86%,-152,60.32%,102.51%, -143,58.84%
41.56%,+141,102.39%,42.55%,+135,41.39%,+142,102.37%,42.37%,+136,Edmonton Oilers,6,,9-Dec,,2,Montreal Canadiens,-150,60.00%,102.37%, -142,58.61%,-149,59.84%,102.39%, -141,58.44%
38.28%,+161,102.45%,39.22%,+155,37.67%,+165,102.51%,38.61%,+159,Winnipeg Jets,3,,9-Dec,OT,4,Tampa Bay Lightning,-177,63.90%,102.51%, -165,62.33%,-172,63.24%,102.45%, -161,61.72%
44.33%,+126,102.54%,45.45%,+120,43.95%,+128,102.49%,45.05%,+122,Colorado Avalanche,7,,9-Dec,,3,Florida Panthers,-135,57.45%,102.49%, -128,56.05%,-133,57.08%,102.54%, -126,55.67%
41.00%,+144,102.49%,42.02%,+138,41.39%,+142,102.37%,42.37%,+136,New Jersey Devils,2,,9-Dec,,5,New York Rangers,-150,60.00%,102.37%, -142,58.61%,-153,60.47%,102.49%, -144,59.00%
45.40%,+120,102.46%,46.51%,+115,46.73%,+114,102.39%,47.85%,+109,Toronto Maple Leafs,4,,9-Dec,,3,Pittsburgh Penguins,-120,54.55%,102.39%, -114,53.27%,-127,55.95%,102.46%, -120,54.60%
36.03%,+178,102.42%,36.90%,+171,34.61%,+189,102.46%,35.46%,+182,Arizona Coyotes,0,,9-Dec,,1,Columbus Blue Jackets,-203,67.00%,102.46%, -189,65.39%,-190,65.52%,102.42%, -178,63.97%
37.25%,+168,102.45%,38.17%,+162,38.57%,+159,102.49%,39.53%,+153,Vegas Golden Knights,5,,9-Dec,,3,Dallas Stars,-170,62.96%,102.49%, -159,61.43%,-180,64.29%,102.45%, -168,62.75%
41.56%,+141,102.39%,42.55%,+135,39.69%,+152,103.25%,40.98%,+144,Ottawa Senators,0,,9-Dec,,5,San Jose Sharks,-165,62.26%,103.25%, -152,60.31%,-149,59.84%,102.39%, -141,58.44%
39.06%,+156,102.41%,40.00%,+150,39.49%,+153,101.70%,40.16%,+149,Vancouver Canucks,2,,9-Dec,,4,Calgary Flames,-160,61.54%,101.70%, -153,60.51%,-166,62.41%,102.41%, -156,60.94%
43.03%,+132,102.39%,44.05%,+127,39.82%,+151,102.50%,40.82%,+145,Carolina Hurricanes,2,,9-Dec,OT,3,Los Angeles Kings,-161,61.69%,102.50%, -151,60.18%,-140,58.33%,102.39%, -132,56.97%
30.30%,+230,102.48%,31.06%,+222,31.50%,+217,102.41%,32.26%,+210,Arizona Coyotes,1,,10-Dec,,3,Chicago Blackhawks,-235,70.15%,102.41%, -217,68.50%,-250,71.43%,102.48%, -230,69.70%
37.25%,+168,102.45%,38.17%,+162,35.49%,+182,102.47%,36.36%,+175,Buffalo Sabres,2,,10-Dec,OT,3,St. Louis Blues,-195,66.10%,102.47%, -182,64.51%,-180,64.29%,102.45%, -168,62.75%
43.03%,+132,102.39%,44.05%,+127,36.03%,+178,102.42%,36.90%,+171,Edmonton Oilers,0,,10-Dec,,1,Toronto Maple Leafs,-190,65.52%,102.42%, -178,63.97%,-140,58.33%,102.39%, -132,56.97%
44.60%,+124,102.37%,45.66%,+119,46.73%,+114,102.39%,47.85%,+109,Minnesota Wild,4,OT,10-Dec,,3,San Jose Sharks,-120,54.55%,102.39%, -114,53.27%,-131,56.71%,102.37%, -124,55.40%
47.82%,+109,102.51%,49.02%,+104,46.73%,+114,102.39%,47.85%,+109,Washington Capitals,1,,11-Dec,,3,New York Islanders,-120,54.55%,102.39%, -114,53.27%,-115,53.49%,102.51%, -109,52.18%
48.61%,+106,102.36%,49.75%,+101,44.33%,+126,102.54%,45.45%,+120,Dallas Stars,2,SO,11-Dec,,1,New York Rangers,-133,57.08%,102.54%, -126,55.67%,-111,52.61%,102.36%, -106,51.39%
33.89%,+195,102.46%,34.72%,+188,33.89%,+195,102.46%,34.72%,+188,Colorado Avalanche,2,,11-Dec,,1,Pittsburgh Penguins,-210,67.74%,102.46%, -195,66.11%,-210,67.74%,102.46%, -195,66.11%
46.73%,+114,102.39%,47.85%,+109,46.52%,+115,102.37%,47.62%,+110,Florida Panthers,2,OT,11-Dec,,1,Detroit Red Wings,-121,54.75%,102.37%, -115,53.48%,-120,54.55%,102.39%, -114,53.27%
36.03%,+178,102.42%,36.90%,+171,37.85%,+164,102.40%,38.76%,+158,Vancouver Canucks,1,,11-Dec,,5,Winnipeg Jets,-175,63.64%,102.40%, -164,62.15%,-190,65.52%,102.42%, -178,63.97%
50.70%, -103,102.42%,51.92%,-108,45.20%,+121,102.44%,46.30%,+116,Carolina Hurricanes,2,,11-Dec,,3,Anaheim Ducks,-128,56.14%,102.44%, -121,54.80%,-102,50.50%,102.42%,+103,49.30%
48.04%,+108,102.53%,49.26%,+103,50.00%,+100,102.44%,51.22%, -105,Ottawa Senators,2,,12-Dec,,3,Buffalo Sabres,-105,51.22%,102.44%,+100,50.00%,-114,53.27%,102.53%, -108,51.96%
52.62%, -111,102.46%,53.92%,-117,56.05%, -128,102.49%,57.45%, -135,Los Angeles Kings,1,,12-Dec,,5,New Jersey Devils,+122,45.05%,102.49%,+128,43.95%,+106,48.54%,102.46%,+111,47.38%
48.04%,+108,102.53%,49.26%,+103,50.00%,+100,102.44%,51.22%, -105,Toronto Maple Leafs,2,,12-Dec,,4,Philadelphia Flyers,-105,51.22%,102.44%,+100,50.00%,-114,53.27%,102.53%, -108,51.96%
35.24%,+184,102.43%,36.10%,+177,37.25%,+168,102.45%,38.17%,+162,Colorado Avalanche,2,,12-Dec,,5,Washington Capitals,-180,64.29%,102.45%, -168,62.75%,-197,66.33%,102.43%, -184,64.76%
37.53%,+166,102.49%,38.46%,+160,40.67%,+146,102.45%,41.67%,+140,Edmonton Oilers,7,,12-Dec,,2,Columbus Blue Jackets,-155,60.78%,102.45%, -146,59.33%,-178,64.03%,102.49%, -166,62.47%
53.79%, -116,102.55%,55.16%,-123,51.16%, -105,102.38%,52.38%, -110,Tampa Bay Lightning,3,,12-Dec,,0,St. Louis Blues,+100,50.00%,102.38%,+105,48.84%,+111,47.39%,102.55%,+116,46.21%
46.01%,+117,102.53%,47.17%,+112,44.33%,+126,102.54%,45.45%,+120,Calgary Flames,1,,12-Dec,SO,2,Minnesota Wild,-133,57.08%,102.54%, -126,55.67%,-124,55.36%,102.53%, -117,53.99%
35.49%,+182,102.47%,36.36%,+175,35.49%,+182,102.47%,36.36%,+175,Florida Panthers,2,,12-Dec,OT,3,Chicago Blackhawks,-195,66.10%,102.47%, -182,64.51%,-195,66.10%,102.47%, -182,64.51%
39.51%,+153,102.46%,40.49%,+147,46.73%,+114,102.39%,47.85%,+109,Carolina Hurricanes,3,SO,12-Dec,,2,Vegas Golden Knights,-120,54.55%,102.39%, -114,53.27%,-163,61.98%,102.46%, -153,60.49%
